title,placeUrl,category,address,LGA
Naid Bus Stop,https://www.google.com/maps/place/Naid+Bus+Stop/data=!4m7!3m6!1s0x103b88e0537807d7:0xc500b6479b70f529!8m2!3d6.4585458!4d3.2964456!16s%2Fg%2F1q6746803!19sChIJ1wd4U-CIOxARKfVwm0e2AMU,Bus stop,"Old Ojo Rd, Amuwo Odofin 102102, Lagos, Nigeria",Amuwo Odofin
ABC Bus Terminal Amuwo Odofin,https://www.google.com/maps/place/ABC+Bus+Terminal+Amuwo+Odofin/data=!4m7!3m6!1s0x103b893638ef763d:0xc0eaf5a584266309!8m2!3d6.475091!4d3.3176029!16s%2Fg%2F1tfw0533!19sChIJPXbvODaJOxARCWMmhKX16sA,Bus station,"Oba Kayode Akinyemi Way, Amuwo Odofin Estate 102102, Lagos, Nigeria",Amuwo Odofin
First Gate Bus Stop,https://www.google.com/maps/place/First+Gate+Bus+Stop/data=!4m7!3m6!1s0x103b891f9e5e23db:0x33730b011900e2d6!8m2!3d6.4599423!4d3.3009839!16s%2Fg%2F1tf3l163!19sChIJ2yNenh-JOxAR1uIAGQELczM,Bus stop,"Lagos - Badagry Expy, Amuwo 102102, Lagos, Nigeria",Amuwo Odofin
Second Rainbow Bus-Stop,https://www.google.com/maps/place/Second+Rainbow+Bus-Stop/data=!4m7!3m6!1s0x103b89466b01dc69:0xa62f9d612384db12!8m2!3d6.4700955!4d3.3227936!16s%2Fg%2F1tcyn1k2!19sChIJadwBa0aJOxAREtuEI2GdL6Y,Bus stop,"Amuwo Odofin 102102, Lagos, Nigeria",Amuwo Odofin
Mile 2 Bus Stop,https://www.google.com/maps/place/Mile+2+Bus+Stop/data=!4m7!3m6!1s0x103b893e4a2ba18f:0xfea3ade36860ad36!8m2!3d6.462392!4d3.315932!16s%2Fg%2F1hhwgh29h!19sChIJj6ErSj6JOxARNq1gaOOto_4,Bus stop,"Amuwo Odofin Estate 102102, Ikeja, Lagos, Nigeria",Amuwo Odofin
AmuwoOdofin,https://www.google.com/maps/place/AmuwoOdofin/data=!4m7!3m6!1s0x103b8947391eb98d:0xb3a708f1dbe1345d!8m2!3d6.467106!4d3.32018!16s%2Fg%2F11b6bckzhg!19sChIJjbkeOUeJOxARXTTh2_EIp7M,Bus stop,"Coker 102102, Ikeja, Lagos, Nigeria",Amuwo Odofin
Tedi bus stop,https://www.google.com/maps/place/Tedi+bus+stop/data=!4m7!3m6!1s0x103b87b863ea9653:0x809bc0202c95513d!8m2!3d6.441495!4d3.2244306!16s%2Fg%2F11mtd8qs7k!19sChIJU5bqY7iHOxARPVGVLCDAm4A,Gas station,"53 Ojeva St, Volkswagen 102113, Lagos, Nigeria",Amuwo Odofin
maza maza,https://www.google.com/maps/place/maza+maza/data=!4m7!3m6!1s0x103b89e798730769:0x2b29540a1a838c23!8m2!3d6.4591954!4d3.3018218!16s%2Fg%2F11hzkzt69v!19sChIJaQdzmOeJOxARI4yDGgpUKSs,Transportation service,"F852+MPG, Old Ojo Rd, Amuwo Odofin 102102, Lagos, Nigeria",Amuwo Odofin
Adeedee Nigeria Limited,"https://www.google.com/maps/place/Adeedee+Nigeria+Limited/@6.4718798,3.2761014,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8915b9b485c5:0x3ae825f98f3ba87b!8m2!3d6.4718798!4d3.2761014!16s%2Fg%2F11jhv82h5m",Parking garage,"House 9, Alao Bus Stop, 5th Avenue, X Cl, Festac Town 102102, Lagos, Nigeria",Amuwo Odofin
23 Last ( Market),https://www.google.com/maps/place/23+Last+%28+Market%29/data=!4m7!3m6!1s0x103b88b69bef9355:0x778d1429fb4f07e5!8m2!3d6.4767635!4d3.2750667!16s%2Fg%2F11r6y3jl5b!19sChIJVZPvm7aIOxAR5QdP-ykUjXc,Bus stop,"Festac Town 102102, Satellite Town, Lagos, Nigeria",Amuwo Odofin
